user id,Age,Urbain,"Casual, Urbancool, Streetwear","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique","Vintage, Kawaii",Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_mode,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
1760,24.0,0,3,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33238.09523809524,64028.57142857143,21,7,0,0,0,0,5,2,14,5,4
1761,22.0,1,3,1,0,0,0,0,0,0,1,3,0,2,10,4,0,0,0,0,0,0,0,0,0,50727.27272727273,34600.0,11,17,0,0,0,0,1,6,10,9,4
1762,18.0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1763,24.0,0,1,3,0,0,0,0,1,0,0,5,1,1,0,1,2,0,0,0,0,0,0,0,0,32888.88888888889,44747.36842105263,9,19,0,0,0,0,2,5,7,12,4
1764,29.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42740.0,36425.0,20,8,0,0,0,0,5,2,13,6,4
1765,24.0,0,1,2,1,1,1,1,1,0,0,5,1,0,4,3,4,0,0,0,0,0,0,0,0,39850.0,47450.0,24,4,0,0,0,0,7,0,15,4,3
1766,24.0,0,2,3,0,0,0,1,1,0,0,5,2,0,4,6,0,0,0,0,0,0,0,0,0,42015.38461538462,26900.0,26,2,0,0,0,0,7,0,17,2,4
1767,37.0,1,2,2,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,34100.0,53240.0,18,10,0,0,0,0,5,2,11,8,4
1768,33.0,1,1,3,0,0,1,1,0,0,0,5,4,6,15,14,4,0,0,0,0,0,0,0,0,25205.555555555555,69250.0,18,10,0,0,0,0,6,1,10,9,3
1769,26.0,1,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,40145.0,42912.5,20,8,0,0,0,0,5,2,13,6,4
1770,22.0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,42581.818181818184,34900.0,22,6,0,0,0,0,6,1,14,5,4
1771,24.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36487.5,42715.0,8,20,0,0,0,0,3,4,5,14,4
1772,28.0,0,2,1,0,0,1,1,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,37441.666666666664,61900.0,24,4,0,0,0,0,6,1,16,3,4
1773,24.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39021.42857142857,56137.5,14,8,0,0,0,0,2,3,10,5,4
1774,26.0,0,2,1,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,40935.71428571428,0.0,28,0,0,0,0,0,7,0,19,0,4
1775,22.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,29016.666666666668,62390.0,18,10,0,0,0,0,6,1,10,9,4
1776,30.0,1,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,40323.80952380953,42771.42857142857,21,7,0,0,0,0,5,2,14,5,4
1777,31.0,1,0,0,2,0,1,1,1,0,0,3,2,0,4,0,1,0,0,0,0,0,0,0,0,34735.0,56437.5,20,8,0,0,0,0,5,2,13,6,4
1778,21.0,0,2,1,0,0,0,2,1,0,0,4,2,1,10,7,3,0,0,0,0,0,0,0,0,39516.666666666664,49450.0,24,4,0,0,0,0,7,0,15,4,3
1779,20.0,1,2,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5521.428571428572,6000.0,5,0,9,1,0,0,11,1,16,2,1
1780,21.0,1,2,1,0,0,1,2,1,0,0,4,2,1,6,7,0,0,0,0,0,0,0,0,0,31705.555555555555,57550.0,18,10,0,0,0,0,6,1,10,9,4
1781,24.0,0,3,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33838.09523809524,62228.57142857143,21,7,0,0,0,0,5,2,14,5,4
1782,33.0,1,0,2,1,0,0,1,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,41525.0,40493.75,12,16,0,0,0,0,3,4,9,10,4
1783,27.0,0,1,2,1,0,1,1,0,0,1,7,1,2,8,8,2,0,0,0,0,0,0,0,0,22535.714285714286,59335.71428571428,14,14,0,0,0,0,4,3,8,11,3
1785,24.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36875.0,46350.0,16,12,0,0,0,0,3,4,11,8,4
1786,22.0,1,2,2,0,0,1,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,39695.454545454544,45483.333333333336,22,6,0,0,0,0,4,3,16,3,4
1787,23.0,0,1,0,1,0,1,0,0,0,0,5,2,3,7,6,0,0,0,0,0,0,0,0,0,40061.90476190476,43557.142857142855,21,7,0,0,0,0,6,1,13,6,3
1788,20.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36437.5,46933.333333333336,16,12,0,0,0,0,4,3,11,8,4
1789,24.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38088.88888888889,46060.0,18,10,0,0,0,0,3,4,14,5,4
1791,20.0,0,2,1,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,38736.36363636364,49000.0,22,6,0,0,0,0,4,3,16,3,4
1792,21.0,0,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42716.0,26100.0,25,3,0,0,0,0,6,1,18,1,4
1793,23.0,0,1,2,0,0,1,1,0,0,1,3,0,0,5,2,1,0,0,0,0,0,0,0,0,44417.391304347824,24920.0,23,5,0,0,0,0,6,1,15,4,4
1794,20.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40626.31578947369,41588.88888888889,19,9,0,0,0,0,4,3,14,5,4
