user id,Age,Urbain,"Casual, Urbancool, Streetwear, Kawaii","Chic, Smart, Working Girl","Rock, Gothique","Engagée, Made in France",Fatale,"Bohême, Romantique",Vintage,Inconnu,access_brand,mass_brand,premium_brand,hdg_brand,prestige_brand,luxe_brand,bio_brand,access_mode,mass_market,premium_mode,hdg_mode,prestige_mode,luxe_mode,vintage_mode,eco_responsable_mode,like_price,dislike_price,like_Naturel,dislike_Naturel,like_Synthetique,dislike_Synthetique,like_Ecolabel,dislike_Ecolabel,like_vif,dislike_vif,like_neutre,dislike_neutre,cluster
473,24.0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25475.0,15460.714285714286,0.7857142857142857,0.21428571428571427,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.5357142857142857,0.17857142857142858,1
474,32.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18414.285714285714,22521.428571428572,0.6071428571428571,0.39285714285714285,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.39285714285714285,0.32142857142857145,1
475,24.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17964.285714285714,22971.428571428572,0.5357142857142857,0.4642857142857143,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.32142857142857145,0.39285714285714285,1
476,23.0,0,3,3,1,0,1,2,0,0,0,7,6,3,14,10,15,11,37,69,54,25,20,4,8,22535.714285714286,18400.0,0.7142857142857143,0.2857142857142857,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.5,0.21428571428571427,2
477,40.0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,1,2,1,0,2,0,0,36307.142857142855,4628.571428571428,0.8928571428571429,0.10714285714285714,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.6428571428571429,0.07142857142857142,1
478,24.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30157.14285714286,10778.57142857143,0.75,0.25,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.5357142857142857,0.17857142857142858,1
479,24.0,0,4,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17753.571428571428,23182.14285714286,0.5,0.5,0.0,0.0,0,0,0.14285714285714285,0.10714285714285714,0.35714285714285715,0.35714285714285715,1
480,34.0,0,4,3,2,2,1,2,1,0,1,7,6,3,10,13,12,2,0,0,0,0,0,0,0,21071.428571428572,19864.285714285714,0.6071428571428571,0.39285714285714285,0.0,0.0,0,0,0.14285714285714285,0.10714285714285714,0.4642857142857143,0.25,4
481,29.0,1,2,3,2,1,1,2,1,0,0,2,0,2,1,3,1,0,2,0,0,0,1,0,0,22425.0,18510.714285714286,0.5357142857142857,0.4642857142857143,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.35714285714285715,0.35714285714285715,1
482,31.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,1,0,0,0,26585.714285714286,14350.0,0.7857142857142857,0.21428571428571427,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.5714285714285714,0.14285714285714285,1
483,31.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26046.428571428572,14889.285714285714,0.7857142857142857,0.21428571428571427,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.5357142857142857,0.17857142857142858,1
484,22.0,0,4,3,2,2,1,2,1,0,0,3,0,0,0,0,0,4,11,3,0,0,1,0,0,14264.285714285714,26671.428571428572,0.39285714285714285,0.6071428571428571,0.0,0.0,0,0,0.03571428571428571,0.21428571428571427,0.39285714285714285,0.32142857142857145,1
486,24.0,0,2,3,0,0,0,1,0,0,0,6,3,2,4,10,0,9,19,18,11,11,14,1,0,26821.428571428572,14114.285714285714,0.75,0.25,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.5357142857142857,0.17857142857142858,3
487,26.0,0,0,1,0,0,1,1,0,0,0,4,1,0,1,4,0,7,9,5,2,3,4,0,0,20882.14285714286,20053.571428571428,0.6785714285714286,0.32142857142857145,0.0,0.0,0,0,0.14285714285714285,0.10714285714285714,0.5,0.21428571428571427,1
488,23.0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,1,0,3,7,0,1,1,1,0,0,15553.57142857143,25382.14285714286,0.42857142857142855,0.5714285714285714,0.0,0.0,0,0,0.10714285714285714,0.14285714285714285,0.32142857142857145,0.39285714285714285,1
489,24.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27257.14285714286,13678.57142857143,0.8214285714285714,0.17857142857142858,0.0,0.0,0,0,0.21428571428571427,0.03571428571428571,0.5714285714285714,0.14285714285714285,1
490,31.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,1,0,1,0,0,23825.0,17110.714285714286,0.6785714285714286,0.32142857142857145,0.0,0.0,0,0,0.14285714285714285,0.10714285714285714,0.5,0.21428571428571427,1
491,25.0,0,2,0,1,0,0,0,0,0,0,3,0,3,3,1,0,5,4,1,0,0,0,0,0,4767.857142857143,36167.857142857145,0.10714285714285714,0.8928571428571429,0.0,0.0,0,0,0.03571428571428571,0.21428571428571427,0.07142857142857142,0.6428571428571429,1
492,30.0,1,3,2,0,0,0,0,1,0,0,2,0,1,1,2,0,8,6,4,1,1,2,0,0,36489.28571428572,4446.428571428572,0.7142857142857143,0.2857142857142857,0.0,0.0,0,0,0.17857142857142858,0.07142857142857142,0.5714285714285714,0.14285714285714285,1
